-,-,-
-357, -122, 845
-368, -121, 906
-410, -168, 1118
-390, -168, 1224
-436, -80, 1386
-442, -57, 1520
-454, -126, 1653
-446, -204, 1832
-407, -215, 1996
-373, -207, 1998
-317, -144, 1936
-193, 7, 1759
-75, 10, 1880
66, -157, 1723
66, -157, 1723
168, -279, 1308
188, -337, 1136
211, -484, 1021
274, -439, 1051
317, -308, 909
336, -182, 572
335, -42, 313
335, -42, 313
325, 165, 65
316, 267, -69
297, 291, -82
179, 270, -68
179, 270, -68
204, 250, -157
124, 6, -65
-70, -340, 54
-144, -342, 36
-81, -210, -86
-81, -210, -86
-126, -234, 99
-319, -461, 299
-490, -676, 382
-464, -746, 435
-459, -699, 575
-583, -771, 732
-668, -903, 763
-591, -882, 897
-525, -926, 1153
-490, -712, 1438
-496, -468, 1565
-496, -468, 1565
-453, -316, 1445
-391, -360, 1211
-285, -214, 1614
-200, -213, 1841
-151, -104, 1774
-148, -135, 1636
-127, -212, 1488
-112, -312, 1650
-57, -312, 1628
9, -269, 1541
-2, -247, 1446
-44, -293, 1275
-,-,-
-338, -154, 1153
-340, -278, 1213
-260, -188, 1329
-243, -9, 1458
-202, 74, 1630
-202, 74, 1630
-178, 4, 1631
-148, -66, 1624
-154, -186, 1661
-168, -284, 1804
-112, -178, 1797
-60, -111, 1779
-8, -178, 1701
38, -167, 1653
82, -60, 1319
82, -60, 1319
157, 43, 1089
198, -13, 899
247, 28, 734
286, 77, 631
286, 77, 631
331, 68, 713
309, -61, 740
390, -88, 481
328, -20, 335
328, -20, 335
219, 38, 277
159, 77, 370
190, 183, 375
190, 183, 375
165, 272, 257
63, 218, 109
-57, 50, 134
-59, 0, 150
-59, 0, 150
-107, -110, 215
-48, -58, 109
-223, -239, 100
-391, -446, 122
-446, -488, 266
-318, -365, 312
-318, -365, 312
-342, -490, 453
-498, -654, 507
-545, -762, 464
-412, -644, 448
-361, -571, 812
-402, -716, 1268
-374, -684, 1246
-308, -554, 1052
-195, -491, 1294
-48, -465, 1663
-6, -384, 1812
-21, -216, 1559
-15, -217, 1322
-15, -217, 1322
119, -345, 1346
178, -460, 1568
185, -416, 1617
251, -358, 1467
310, -381, 1369
-,-,-
-86, -470, 1006
-112, -618, 1081
-180, -661, 1314
-106, -555, 1323
8, -368, 1221
-20, -320, 1313
-52, -282, 1424
11, -235, 1416
59, -186, 1551
59, -186, 1551
40, -163, 1626
-28, -158, 1662
-33, -224, 1572
121, -116, 1173
62, -111, 1047
-6, -171, 1175
-1, -111, 1190
-1, -111, 1190
99, 7, 1160
143, 69, 1017
188, 143, 714
149, 73, 556
149, 73, 556
51, -113, 875
69, -131, 1014
124, -25, 869
48, -35, 858
48, -35, 858
-39, -51, 909
-27, 28, 752
16, 180, 599
16, 180, 599
-2, 272, 535
-44, 218, 532
-38, 84, 324
-85, -57, 210
-85, -57, 210
-100, -61, 141
-29, -13, 125
-147, -152, 324
-215, -110, 229
-351, -19, 74
-437, -75, 81
-437, -75, 81
-405, -124, 216
-336, -86, 292
-359, -133, 346
-441, -300, 476
-487, -450, 641
-364, -427, 660
-221, -325, 799
-232, -446, 1070
-162, -523, 1000
-162, -523, 1000
-65, -573, 918
67, -631, 1353
224, -510, 1604
258, -395, 1616
214, -314, 1480
220, -386, 1502
369, -546, 1790
449, -466, 1998
476, -207, 1902
437, -132, 1626
381, -428, 1502
381, -428, 1502
346, -734, 1463
315, -767, 1340
328, -559, 1270
253, -445, 1052
-,-,-
-172, -430, 1044
-263, -634, 1243
-275, -659, 1342
-74, -483, 1145
-74, -483, 1145
-68, -363, 1174
-129, -468, 1392
-73, -625, 1539
42, -623, 1678
110, -501, 1681
56, -452, 1687
38, -504, 1628
97, -593, 1499
140, -501, 1206
53, -449, 1284
53, -449, 1284
15, -260, 1195
30, -13, 895
96, 228, 722
65, 54, 1003
65, 54, 1003
-35, -182, 961
-43, -12, 1026
50, 132, 963
111, 275, 756
111, 275, 756
17, 244, 724
-42, 224, 644
25, 378, 680
80, 425, 668
80, 425, 668
86, 346, 636
110, 327, 638
83, 277, 540
83, 277, 540
36, 181, 366
34, 223, 166
71, 167, 34
71, 167, 34
29, 57, 198
-71, -146, 204
-128, -330, 54
-128, -342, 6
-128, -342, 6
-161, -267, 184
-264, -242, 441
-341, -355, 609
-314, -410, 571
-331, -423, 609
-314, -446, 653
-357, -521, 872
-280, -523, 923
-174, -518, 821
-174, -518, 821
-200, -628, 848
-200, -706, 1107
5, -569, 1198
221, -381, 1261
298, -302, 1321
290, -342, 1520
342, -284, 1700
379, -183, 1585
400, -183, 1485
434, -332, 1659
434, -332, 1659
506, -419, 1985
626, -337, 1993
686, -225, 1784
608, -335, 1454
443, -585, 1373
266, -714, 1236
-,-,-
-286, -277, 826
-257, -364, 927
-264, -391, 1096
-249, -418, 1135
-147, -412, 1119
-91, -275, 1406
14, -195, 1583
96, -183, 1559
81, -279, 1612
7, -451, 1689
7, -451, 1689
35, -458, 1706
147, -307, 1596
174, -211, 1587
121, -313, 1572
70, -376, 1594
92, -310, 1397
137, -211, 1143
112, -200, 1071
112, -200, 1071
112, -151, 1022
112, -98, 955
162, -3, 912
225, 144, 720
226, 116, 546
131, 15, 534
131, 15, 534
114, -14, 440
133, 17, 506
179, 180, 431
179, 180, 431
154, 294, 294
64, 221, 330
-10, 81, 405
-13, 129, 452
-13, 129, 452
-2, 248, 386
-105, 169, 242
-220, -34, 240
-245, -131, 250
-237, -171, 205
-235, -75, 170
-235, -75, 170
-291, -130, 190
-368, -239, 303
-354, -220, 327
-331, -82, 496
-336, -104, 691
-382, -285, 692
-430, -486, 520
-399, -602, 451
-265, -702, 790
-265, -702, 790
-192, -684, 1213
-192, -612, 1230
-188, -556, 1017
-135, -613, 964
-1, -625, 1283
77, -446, 1453
91, -284, 1441
134, -271, 1313
258, -366, 1439
371, -387, 1679
395, -335, 1766
395, -335, 1766
401, -332, 1861
393, -336, 1801
-,-,-
-24, -123, 1007
-32, -222, 976
-88, -308, 1275
-111, -372, 1445
-101, -408, 1442
-60, -443, 1480
-1, -421, 1458
-1, -421, 1469
22, -427, 1469
-14, -489, 1545
33, -426, 1592
113, -244, 1644
139, -170, 1545
112, -193, 1484
122, -223, 1414
151, -193, 1327
206, -58, 1128
206, -58, 1128
228, -63, 929
186, -185, 939
139, -321, 996
130, -277, 996
202, -81, 695
149, -16, 618
149, -16, 618
92, -7, 552
97, 78, 606
137, 160, 676
137, 160, 676
216, 302, 575
156, 254, 470
62, 62, 443
-19, -8, 417
-19, -8, 417
-12, 104, 339
-44, 94, 208
-132, -16, 183
-132, -16, 183
-198, -124, 148
-287, -196, 151
-309, -128, 165
-294, -25, 197
-316, -62, 242
-367, -160, 239
-383, -284, 304
-384, -223, 432
-431, -238, 539
-461, -316, 538
-461, -316, 538
-472, -443, 545
-466, -517, 641
-429, -504, 869
-383, -552, 998
-294, -635, 1054
-225, -625, 1167
-187, -554, 1395
-125, -496, 1467
-83, -499, 1339
-14, -493, 1155
17, -432, 1184
46, -309, 1395
88, -205, 1569
88, -205, 1569
170, -170, 1646
188, -219, 1664
170, -347, 1702
156, -465, 1684
133, -581, 1578
-,-,-
-250, -365, 1158
-254, -464, 1073
-232, -483, 1255
-227, -439, 1359
-201, -311, 1414
-143, -274, 1368
-110, -273, 1433
-66, -263, 1569
-36, -246, 1555
-22, -150, 1584
12, -74, 1531
85, -45, 1564
145, -127, 1622
128, -215, 1502
128, -215, 1502
90, -353, 1380
110, -360, 1221
131, -237, 1117
133, -109, 920
163, 28, 800
124, 5, 679
124, 5, 679
66, -67, 524
35, -73, 411
68, 91, 433
68, 91, 433
104, 189, 429
96, 238, 384
30, 43, 234
30, 43, 234
-29, -34, 152
-15, 147, 188
28, 276, 208
28, 276, 208
-74, 28, 345
-147, -99, 307
-205, -130, 117
-253, -97, 62
-290, -57, 168
-290, -57, 168
-335, -112, 302
-362, -152, 360
-356, -210, 357
-366, -234, 379
-425, -348, 541
-407, -429, 614
-308, -538, 648
-310, -614, 633
-375, -628, 762
-245, -699, 910
-245, -699, 910
-94, -627, 1142
-34, -424, 1199
-121, -343, 1270
-102, -404, 1297
26, -493, 1344
158, -445, 1577
161, -226, 1902
144, -152, 1998
119, -366, 1992
79, -618, 1778
70, -736, 1657
70, -736, 1657
-,-,-
-117, -282, 1230
-54, -241, 1317
-80, -251, 1459
-55, -259, 1498
-9, -276, 1570
-9, -276, 1570
64, -230, 1472
42, -208, 1347
-10, -296, 1382
6, -258, 1359
57, -107, 1412
92, -3, 1307
92, -3, 1307
66, -41, 1232
38, -133, 1193
43, -218, 1103
64, -211, 1045
80, -146, 971
80, -146, 971
113, -97, 809
51, -79, 739
49, -54, 735
49, -54, 735
100, -67, 608
68, -115, 449
-37, -154, 480
-125, -149, 488
-95, -33, 436
-95, -33, 436
-104, 31, 408
-188, 15, 377
-245, -19, 264
-318, -107, 216
-313, -152, 112
-290, -92, 15
-290, -92, 15
-352, -146, 52
-435, -233, 115
-416, -274, 32
-421, -286, 56
-466, -227, 239
-522, -188, 375
-550, -215, 450
-550, -215, 450
-501, -218, 371
-458, -267, 496
-482, -335, 660
-436, -361, 789
-371, -425, 869
-309, -465, 998
-233, -461, 1124
-171, -397, 1265
-87, -335, 1372
-13, -314, 1476
76, -266, 1616
73, -214, 1782
73, -214, 1782
61, -169, 1809
76, -222, 1755
94, -327, 1703
92, -446, 1618
82, -498, 1446
35, -516, 1396
12, -496, 1350
12, -496, 1350
0, -438, 1244
56, -431, 1033
-69, -374, 974
-,-,-
-128, -210, 1437
-169, -230, 1350
-58, -220, 1527
-53, -314, 1599
-49, -207, 1673
-12, -169, 1625
-7, -95, 1631
-16, -198, 1700
-1, -283, 1668
65, -295, 1588
119, -213, 1386
119, -213, 1386
122, -105, 1267
142, -110, 1183
173, -123, 1103
141, -136, 938
130, -107, 775
125, -123, 680
138, -112, 598
183, -7, 565
183, -7, 565
204, 76, 585
227, 111, 522
183, 32, 517
183, 32, 517
95, -48, 515
-3, 1, 436
-58, 65, 368
-58, 65, 368
-117, 65, 368
-163, -49, 300
-226, -149, 235
-326, -202, 220
-336, -177, 150
-286, -189, 86
-286, -189, 86
-266, -246, -12
-407, -356, 64
-539, -462, 233
-417, -264, 197
-327, -130, 258
-425, -260, 444
-496, -472, 498
-463, -541, 473
-364, -452, 592
-288, -415, 787
-288, -415, 787
-264, -500, 1035
-231, -583, 1008
-144, -679, 1039
18, -589, 1273
138, -458, 1545
151, -414, 1735
176, -444, 1798
234, -430, 1742
251, -464, 1830
246, -491, 1890
247, -554, 1882
275, -520, 1753
246, -533, 1500
-,-,-
-92, -314, 1191
-47, -240, 1216
-78, -272, 1111
-105, -400, 1247
-115, -549, 1458
-170, -653, 1593
-182, -659, 1523
-130, -590, 1376
-143, -527, 1467
-136, -462, 1434
-89, -431, 1407
-4, -378, 1561
93, -248, 1565
93, -248, 1565
108, -221, 1465
71, -294, 1380
85, -336, 1322
178, -222, 1222
215, -126, 1109
191, -144, 983
160, -155, 794
160, -155, 794
150, -142, 632
179, 6, 595
168, 94, 564
131, 82, 533
131, 82, 533
138, 8, 424
117, -10, 323
112, 121, 299
82, 198, 243
82, 198, 243
-25, 66, 194
-70, -15, 116
-106, 11, 106
-106, 11, 106
-150, 39, 167
-287, 0, 266
-294, 37, 268
-307, -119, 213
-317, -318, 281
-317, -318, 281
-381, -430, 351
-420, -339, 534
-415, -283, 609
-380, -345, 557
-471, -502, 573
-592, -590, 719
-533, -493, 867
-428, -382, 938
-383, -351, 919
-430, -436, 968
-485, -518, 1068
-374, -412, 1172
-374, -412, 1172
-259, -293, 1236
-209, -278, 1269
-119, -287, 1165
-31, -342, 1218
0, -298, 1364
-2, -246, 1408
48, -196, 1417
111, -168, 1439
175, -155, 1455
174, -156, 1513
158, -245, 1510
129, -383, 1524
