-,-,-
-595, -578, 710
-425, -530, 708
-400, -273, 858
-381, -338, 903
-419, -677, 600
-375, -793, 638
-401, -590, 727
-401, -590, 727
-418, -666, 721
-451, -518, 720
-297, -576, 687
-264, -684, 699
-363, -569, 773
-332, -626, 833
-297, -683, 834
-304, -623, 894
-307, -640, 922
-275, -623, 959
-193, -641, 899
-172, -632, 882
-172, -632, 882
-172, -564, 877
-20, -523, 951
-14, -582, 920
-30, -609, 825
-32, -695, 755
2, -711, 692
2, -711, 692
0, -632, 733
-25, -611, 768
-34, -573, 760
-57, -542, 740
-109, -553, 686
-123, -579, 652
-123, -579, 652
-152, -542, 710
-121, -521, 724
-97, -477, 733
-175, -523, 693
-241, -557, 690
-224, -547, 742
-173, -499, 808
-211, -517, 758
-289, -570, 737
-315, -605, 768
-321, -608, 806
-321, -608, 806
-307, -627, 824
-337, -626, 832
-313, -618, 829
-287, -606, 843
-255, -573, 816
-183, -547, 793
-179, -497, 789
-223, -523, 738
-233, -561, 697
-228, -559, 714
-222, -523, 694
-222, -523, 694
-237, -533, 631
-284, -565, 526
-249, -560, 504
-27, -422, 597
33, -504, 500
77, -838, 282
332, -817, 392
332, -817, 392
588, -734, 645
603, -902, 738
96, -997, 658
-658, -859, 463
-1095, -670, 562
-1106, -660, 672
-1181, -716, 652
-1407, -816, 621
-1460, -871, 714
-1332, -836, 777
-1220, -808, 826
-1320, -783, 763
-1471, -883, 651
-1360, -967, 645
-988, -916, 644
-988, -916, 644
-724, -838, 747
-708, -721, 747
-645, -604, 695
-416, -418, 602
-239, -250, 659
-259, -321, 606
-283, -470, 522
-207, -549, 407
-157, -549, 404
-215, -627, 415
-256, -646, 440
-237, -569, 528
-237, -569, 528
-232, -529, 531
-305, -574, 548
-331, -574, 583
-353, -531, 609
-332, -524, 633
-338, -491, 680
-396, -499, 680
-415, -442, 683
-410, -408, 692
-426, -390, 753
-488, -417, 744
-488, -417, 744
-463, -425, 740
-470, -427, 743
-475, -407, 773
-495, -447, 767
-488, -461, 769
-507, -456, 778
-489, -450, 790
-503, -473, 797
-501, -486, 776
-509, -469, 761
-521, -453, 752
-521, -453, 752
-524, -420, 760
-525, -411, 756
-492, -400, 757
-502, -416, 730
-529, -419, 723
-519, -423, 734
-503, -426, 727
-488, -431, 731
-458, -426, 765
-482, -436, 757
-511, -455, 737
-526, -461, 741
-526, -461, 741
-533, -446, 751
-557, -441, 763
-572, -415, 775
-584, -409, 758
-620, -420, 738
-638, -420, 740
-660, -425, 767
-641, -452, 742
-587, -473, 721
-500, -448, 746
-401, -383, 777
-401, -383, 777
-481, -423, 707
